agency_name,addr1,addr2
Atchison County Sheriff's Office,518 Parallel St, 
Atchison County Sheriff's Office,511 W Clay St, 
Atchison Police Department,515 Kansas Ave, 
Athena Police Department,Po Box 686, 
Athens Borough Police Department,2 South River Street, 
Athens County Sheriff's Office,13 W Washington St, 
Athens I.S.D. Police Dept.,104 Hawn St., 
Athens Police Department,951 E Hobbs Street, 
Athens Police Department,Post Office Box 458,202 S State
Athens Police Department,221 Caroline Street,P.O. Box 219
Athens Police Department,P.O. Box 849, 
Athens Police Department,202 West Scott Street, 
Athens Police Department,11 North College St, 
Athens Police Dept,105 E Jackson Street, 
Athens State University Police,300 N. Beaty St,Rm 106
Athens Township Police Department,45 Herrick Ave, 
Athens Village Police Department,2 First Street, 
Athens-Clarke County Police Dept,3035 Lexington Road, 
Atherton Police Department,83 Ashfield Road, 
Athol Police Department,280 Exchange Street, 
Atkins Police Department,305 East Main Street, 
Atkinson County Sheriff's Office,Po Box 157, 
Atkinson Police Department,Po Box 321,27 Academy Ave
Atkinson Police Dept,107 W. Main St., 
Atkinson Police Dept,Box 519, 
Atlanta Metropolitan College Campus Police,"1630 Metropolitan Pkwy., S.W.", 
Atlanta Police,105 East Main Street,Post Office Box 133
Atlanta Police Department,"675 Ponce De Leon, 9Th Floor", 
Atlanta Police Department,P. O. Box 669,310 N. LOUISE ST.
Atlanta Police Dept,P. O. Box 448, 
Atlanta Public Schools Police Department,"130 Trinity Avenue, S.W.", 
Atlanta State Farmers Market Police Department,16 Forest Parkway Adm. Bldg., 
Atlantic Beach Police Department,717 30Th Avenue South, 
Atlantic Beach Police Department,Po Box 10, 
Atlantic Beach Police Department,850 Seminole Road, 
Atlantic City Police,2711 Atlantic Avenue, 
Atlantic County Prosecutor's Office,P.O. Box 2002,4997 Unami Boulevard
Atlantic County Sheriff's Office,4997 Unami Blvd,Criminal Courthouse
Atlantic Highlands Police,100 First Avenue, 
Atlantic Police Department,23 E 4Th St, 
Atlantis Police Department,260 Orange Tree Drive, 
Atmore Police Department,Post Office Box 1297, 
Atoka County Sheriff's Office,200 E Court St Ste 102E,County Courthouse
Atoka Police Department,Post Office Box 900, 
Atoka Police Department,P.O. Box 70, 
Attala County Sheriff's Office,112 W Adams St, 
Attalla Police Department,302 6Th Avenue Northwest, 
Attapulgus Police Department,P.O. Box 99, 
Attica Police,200 South Mcdonald Street, 
Attica Police Department,Po Box 303, 
Attica Police Department,20 South Main Street,P.O. Box 424
Attica Village Police Department,43 Exchange Street, 
Attleboro Police Department,12 Union Street, 
Atwater Police Department,123 N. 4Th St., 
Atwater Police Department,750 Bellevue Road, 
Atwood Police Department,106 S Third St, 
Atwood Police Dept,112 S. MAIN P.O. BOX 319, 
Au Gres-Sims Township Police Department,Po Box 121, 
Aubrey Police Department,107 S. Main St., 
Auburn Borough Police Department,451 Pearson Street,Box 322
Auburn Hills Police Department,1899 N. Squirrel Rd, 
Auburn Police,210 S. Cedar Street,Post Office Box 506
Auburn Police Department,Po Box 339,55 Eaton Hill Road
Auburn Police Department,416 Oxford Street, 
Auburn Police Department,"340 East Main Street, Suite 201", 
Auburn Police Department,101 E Elm St, 
Auburn Police Department,1361 Fourth Avenue, 
Auburn Police Department,P.O. Box 465, 
Auburn Police Department,1215 Lincoln Way, 
Auburn Police Department,141 North Ross Street, 
Auburn Police Department,46 North Street, 
Auburn Police Department,1 Minot Avenue, 
Auburn Police Dept,324 West Jefferson, 
Auburn Police Dept,1805 N Street, 
Auburn University Department of Public Safety & Security,543A Magnolia Avenue, 
Auburn University-Montgomery Police Department,Post Office Box 244023, 
Auburn-Washburn USD #437 Police Department,5900 Sw 61St St, 
Auburndale Police Department,2 Bobby Green Plaza, 
Audrain County Sheriff's Office,1100 Littleby Rd, 
Audubon Borough Police,606 West Nicholson Road, 
Audubon County Sheriff's Office,318 Leroy St,PO Box 262
Audubon Park Police Department,3340 Robin Rd., 
Audubon Police Department,410 N Park Pl, 
Audubon Police Department,P.O. Box 263, 
Auglaize County Sheriff's Office,Po Box 26,1051 Dearbaugh Ave
Augusta County Sheriff's Office,Po Box 860, 
Augusta Department of Safety,2100 N Ohio St, 
Augusta Police Department,P.O. Box 85, 
Augusta Police Department,33 Union Street, 
Augusta Police Department,109 West Clinton St,PO Box 216
Augusta Police Department,145 West Lincoln Street,P.O. Box 475
Augusta Police Department,P.O. Box 268, 
Augusta State University Dept of Public Safety,2500 Walton Way, 
Aulander Police Department,Po Box 100, 
Ault Police Department,P O Box 1098, 
Aumsville Police Department,Po Box 103, 
Auraria Campus Police - Denver,"P O Box 173361, Cmps Box E",1201 5th St.
Aurelia Police Department,Po Box 328, 
Aurora County Sheriff's Office,Po Box 333,401 North Main St
Aurora Police,233 Main Street, 
Aurora Police Department,21420 Main St NE, 
Aurora Police Department,15001 East Alameda Parkway, 
Aurora Police Department,100 South Aurora Road, 
Aurora Police Department,Po Box 30     106 S Elliott, 
Aurora Police Department,Po Box 86, 
Aurora Police Dept,715 12Th St., 
Aurora Police Dept,350 N. River St, 
Aurora University Police Dept,347 S Gladstone Ave, 
Austell Police Department,2721 Joe Jerkins Blvd, 
Austin Airport Police,3600 Presidential Blvd,Suite 508
Austin Borough Police Department,81 Scoville Street,P.O. Box 297
Austin Community College District Police,9101 Tuscany Way, 
Austin County Constable Pct. 3,P.O. Box 636, 
Austin County Sheriff's Office,417 N Chesley St, 
Austin I.S.D. Police Department,"1111 W 6Th St, C-120", 
Austin Peay State University Police,P.O. Box 4425, 
Austin Police,127 Highway 31, 
Austin Police Department,201 1St Street Ne, 
Austin Police Department,P. O. Box 689001, 
Austin Police Department,P.O. Box 129, 
Austintown Police Department,92 Ohltown Road, 
Autauga County Sheriff's Office,162 W 4Th St, 
Autaugaville Police Department,Post Office Box 237, 
Auxvasse Police Department,104 S Main   Po Box 489, 
Ava Police Department,237 Se Second St   Po Box 518,504 NW 12th Ave
Ava Police Dept,Main Street, 
Avalon Borough Police Department,640 California Ave, 
Avalon Police Department,3000 Dune Drive, 
Aventura Police Department,19200 West Country Club Drive, 
Avery County Sheriff's Office,Po Box 426, 
Avilla Police,117 South Main Street,Post Office Box 49
Avinger Police Department,P. O. Box 356, 
Aviston Police Dept,P.O. Box 401,149 S. Page St.
Avoca Borough Police,752 Main Street, 
Avoca Police Department,Po Box 246, 
Avoca Police Department,401 Wisconsin Street,P.O. Box 148
Avon Lake Police Department,32855 Walker Road, 
Avon Park Police Department,304 West Pleasant Street, 
Avon Police,6570 East U.S. Highway 36, 
Avon Police Department,30223 Stone House Rd, 
Avon Police Department,P.O. Box 195, 
Avon Police Department,P O Box 975, 
Avon Police Department,36774 Detroit Rd., 
Avon Police Department,150 Main Street, 
Avon Police Department,60 West Main Street, 
Avon Police Dept,105 West Clinton, 
Avon Village Police Department,74 Genesee Street, 
Avon-By-The-Sea Police,301 Main Street, 
Avondale Estates Police Department,21 North Avondale Plaza, 
Avondale Police Department,11485 W Civic Center Drive, 
Avonmore Borough Police Department,7Th &  Allegheny Avenue, 
Avoyelles Parish Sheriff's Office,675 Government St, 
Ayden Police Department,Po Box 219, 
Ayer Police Department,54 Park St, 
Aynor Police Department,Po Box 66, 
Azle Police Department,613  S. E.  Parkway, 
Aztec Police Department,201 West Chaco, 
Azusa Police Department,725 N. Alameda Avenue, 
BART Police Department,P.O. Box 12500, 
Babbitt Police Department,71 South Drive, 
Baca County Sheriff's Office,265 E 2Nd Ave, 
Bacon County Sheriff's Office,Po Box 237, 
Bad Axe Police Department,100 South Hanselman, 
Bad River Tribal Police Department,"Chief Blackbird Center, Maple St",P.O. Box 39
Baden Borough Police Department,149 State Street, 
Badin Police Department,Po Box 707, 
Baggs Police Department,Box 190,130 S Penland
Bagley Police Department,21 Getchell Ave Se,PO BOX 759
Bailey County Constable Pct. 1,712 W. Ave. C, 
Bailey County Sheriff's Office,405 W 2Nd, 
Bailey Police Department,Po Box 40, 
Baileyton Police Department,6530 Horton Hwy., 
Baileyville Police Department,63 Broadway Street,PO Box 637
Bainbridge Island Police Department,625 Winslow Way East, 
Bainbridge Police,Post Office Box 385, 
Bainbridge Police Department,P. O. Box 481, 
Bainbridge Township Police Department,8353 Bainbridge Road, 
Bainbridge Village Police Department,35 West Main Street, 
Baird Marshal's Office,328 Market St., 
Bairoil Police Department,6116 Broadway, 
Baker City Police Department,Po Box 650, 
Baker County Sheriff's Office,56 N 2Nd St, 
Baker County Sheriff's Office,Po Box 441, 
Baker County Sheriff's Office,3410 K St, 
Baker Hill Police Department,1896 Highway 131 South, 
Baker Police Department,Po Box 389, 
Baker Police Department,Po Box 466, 
Bakersfield Police Department,1601 Truxtun Avenue, 
Bakersville Police Department,Po Box 53, 
Bal Harbour Village Police Department,655 96Th Street, 
Balaton Police Department,P.O. BOX 144, 
Balch Springs City Marshal's Office,3117 Hickory Tree Rd., 
Balch Springs Police Department,12500 Elam Rd., 
Balcones Heights Police Department,3300 Hillcrest Dr., 
Bald Head Island Department of Public Safety,253 Edward Teach, 
Bald Knob Police Department,P.O. Box 1119, 
Baldwin Borough Police Department,3344 Churchview Ave, 
Baldwin City Police Department,Po Box 253, 
Baldwin County Sheriff's Office,310 Hand Ave, 
Baldwin County Sheriff's Office,Po Box 830, 
Baldwin Park Police Department,14403 East Pacific Avenue, 
Baldwin Park Unified School District Police,3699 N. Holly Ave, 
Baldwin Police Department,Po Box 767, 
Baldwin Police Department,400 Cedar Street,P.O. Box 117
Baldwin Police Department,P.O. Box 247,155 Willingham Ave
Baldwin Township Police Department,10 Community Park Dr, 
Baldwinsville Village Police Department,16 West Genesee Street, 
Baldwyn Police Department,920 Northfourth street, 
Ball Ground Police Department,P.O. Box 285, 
Ball Police Department,Po Box 800, 
Ball State University Police Department,200 N. McKinley Ave., 
Ballard County Sheriff's Office,Po Box 565,437 Ohio St
Ballinger Police Department,106 N 9Th St, 
Ballston Spa Village Police Department,30 Bath Street, 
Ballwin Police Department,300 Park Drive, 
Bally Borough Police Department,425 Chestnut Street, 
Balsam Lake Police Department,404 Main Street,P.O. Box 506
Baltic Police Department,P.O. Box 201, 
Baltimore (City) Sheriff's Office,100 N Calvert St Ste 104, 
Baltimore City Community College Police,2901 Liberty Heights Ave, 
Baltimore City School Police Dept.,200 E. North Avenue,Room 002
Baltimore County Police Department,700 E. Joppa Rd, 
Baltimore County Sheriff's Office,401 Bosley Ave, 
Baltimore Police Department,416 West Market Street, 
Baltimore Police Department,242 W. 29Th St., 
Bamberg County Sheriff's Office,Po Box 210,456 Second St
Bamberg Police Department,Po Box 300, 
Bancroft Police Department,120 Warrant St,PO Box 91
Bancroft Police Dept,Box 56, 
Bandera County Constable Pct. 1,1334 Tobin Ranch Rd, 
Bandera County Constable Pct. 2,7145 Park Road 37, 
Bandera County Constable Pct. 3,P.O. Box 1557, 
Bandera County Sheriff's Office,Po Box 607,12th and Pecan
Bandera Police Department,P. O. Box 2279, 
Bandon Police Department,Po Box 67, 
Bangor Borough Police Department,30 N. First Street, 
Bangor Police Department,257 W. Monroe St., 
Bangor Police Department,100 17Th Avenue North,P.O. Box 220
Bangor Police Department,240 Main Street, 
Bangs Police Department,P. O. Box 188, 
Banks County Sheriff's Office,160 Windmill Farm Rd, 
Banner County Sheriff's Office,Po Box 43,County Courthouse
Banner Elk Police Department,Po Box 2049, 
Banning Police Department,321 West Ramsey Street, 
Bannock County Sheriff's Office,Po Box 4666, 
Bannockburn Police Dept,2275 Telegraph Road, 
Bar Harbor Police Department,37 Firefly Lane, 
Baraboo Police Department,135 Fourth Street, 
Baraga County Sheriff's Office,Po Box 307,US - 41
Baraga Police Department,100 Hemlock St, 
Barber County Sheriff's Office,124 E Washington Ave, 
Barberton Police Department,576 West Park Street, 
Barbour County Sheriff's Office,8 N Main St, 
Barbour County Sheriff's Office,24 Robertson Airport Rd, 
Barboursville Police Department,Post Office Box 266, 
Barbourville Police Department,P.O. Box 1300, 
Bardstown Police Department,212 Nelson County Plaza., 
Bardwell Police Department,P.O. Box 639, 
Bardwell Police Department,100 Planters Gin Road, 
Bargersville Police,Post Office Box 420, 
Barker Village Police Department,8708 Main Street,P.O. Box 298
Barling Police Department,Po Box 23039, 
Barnegat Township Police,900 West Bay Avenue, 
Barnes County Sheriff's Office,218 2Nd Ave Ne, 
Barnes Township Police Department,3360 County Highway N, 
Barnesville Police Department,101 Front Street,P.O. BOX 550
Barnesville Police Department,132 North Arch Street, 
Barnesville Police Department,100 Mill Streett, 
Barneveld Police Department,403 Business Industrial Park, 
Barnsdall Police Department,P. O. Box 778, 
Barnstable County Sheriff's Office,6000 Sheriff  Place, 
Barnstable Police Department,1200 Phinneys Ln, 
Barnstead Police Department,119 S. Barnstead Rd., 
Barnwell County Sheriff's Office,Po Box 384,599 Joey Zorn Blvd
Barnwell Police Department,Po Box 776, 
Baroda-Lake Township Police Department,9091 First St,PO Box 187
Barrackville Police Department,Post Office Box 26, 
Barre Police Department,15 Fourth Street, 
Barre Police Department,Box 902,40 West Street
Barre Town Police Dept,149 Websterville Road, 
Barren County Sheriff's Office,117 N Public Sq Ste 1B, 
Barrett Township Police Department,Rr #2 Box 2337, 
Barrington Hills Police Dept,112 Algonquin Road, 
Barrington Police,227 Trenton Avenue, 
Barrington Police Department,Po Box 617, 
Barrington Police Department,100 Federal Road, 
Barrington Police Department,400 N. Northwest Hwy, 
Barron County Sheriff's Office,1420 State Hwy 25 N Rm 1200, 
Barron Police Department,1456 East Lasalle Avenue,P.O. Box 156
Barrow County Sheriff's Office,30 N Broad St, 
Barry County Sheriff's Office,1212 W State St, 
Barry County Sheriff's Office,505 East St., 
